id;question;answer_1;answer_2;answer_3;answer_4;answer;level;comments
11;"Ãäå íàõîäèòñÿ ""ïó÷îê Ãèññà""?";â ñåðäöå;â ãîëîâíîì ìîçãå;â ñïèííîì ìîçãå;â êèøå÷íèêå;â ñåðäöå;1;
12;Êàê åùå íàçûâàåòñÿ ñòðåññ-èíäóöèðîâàííàÿ êàðäèîïèîïàòèÿ?;ñèíäðîì ðàçáèòîãî ñåðäöà;ñèíäðîì âîëüôà-ïàðêèíñîíà-óàéòà;ñèíäðîì ñåðäå÷íîãî ãîðÿ;ñèíäðîì êèòàéñêîé ëîâóøêè;ñèíäðîì ðàçáèòîãî ñåðäöà;2;Êàðäèîìèîïàòèÿ òàêîöóáî (îí æå ñèíäðîì ðàçáèòîãî ñåðäöà) - ìîæåò ðàçâèòüñÿ ïðè ïðè ñèëüíîì ýìîöèîíàëüíîì ñòðåññ (íàïðèìåð ïðè ãèááåëè áëèçêîãî ÷åëîâåêà), íàïîìèíàåò êàðòèíó îñòðîãî èíôàðêòà ìèîêàðäà. Ïî ôîðìå ñåðäöå ïðèîáðåòàåò ëîâóøêó äëÿ êàëüìàðîâ - òàêîöóáî.
13;Âûáåðèòå ïðèìåð ïàòîãíîìîíè÷íîãî ñèìïòîìà;ïÿòíà Ôèëàòîâà íà ñëèçèñòîé â ðîòîâîé ïîëîñòè ó äåòåé ïðè êîðè;òîøíîòà ïðè ïèùåâîé òîêñèêîèíôåêöèè;ëèõîðàäêà ïðè ÎÐÂÈ;áîëü â æèâîòå ïðè àïïåíäèöèòå;ïÿòíà Ôèëàòîâà íà ñëèçèñòîé â ðîòîâîé ïîëîñòè ó äåòåé ïðè êîðè;1;
14;Âûáåðèòå ïðèìåð ïàòîãíîìîíè÷íîãî ñèìïòîìà;ïëàçìîäèè â ýðèòðîöèòàõ ïðè ìàëÿðèè;îäûøêà ïðè ñåðäå÷îé íåäîñòàòî÷íîñòè;ãåìàòóðèÿ ïðè ìî÷åêàìåííîé áîëåçíè;ðàçäðàæèòåëüíîñòü ïðè òèðåîòîêñèêîçå;ïëàçìîäèè â ýðèòðîöèòàõ;2;
15;Ñêîëüêî âûäåëÿþò ïàòîôèçèîëîãè÷åñêèõ ïðèçíàêîâ âîñïàëåíèÿ?;3;4;5;íåò îïðåäåëåííîãî êîëè÷åñòâà;5;1;"Âûäåëÿþò 5 ïðèçíàêîâ âîñïàëåíèÿ:
rubor — êðàñíîòà (ìåñòíîå ïîêðàñíåíèå êîæíûõ ïîêðîâîâ èëè ñëèçèñòîé).
tumor — îïóõîëü (îò¸ê).
calor — æàð (ïîâûøåíèå ìåñòíîé òåìïåðàòóðû).
dolor — áîëü.
functio laesa — íàðóøåíèå ôóíêöèè"
16;Èç êàêîé ôàðìàöåâòè÷åñêîé ãðóïïû ïðåïàðàò êëîïèäîãðåëü?;àíòèêîàãóëÿíò;àíòèêîíâóëüñàíò;èíãèáèòîð ôàêòîðà Õ;àíòèàãðåãàíò;àíòèàãðåãàíò;1;Êëîïèäîãðåëü - ýòî èíãèèòîð àãðåãàöèè òðìáîöèòîâ. Â îòëè÷èå îò àöåòèëñàëèöèëîâîé êèñëîòû (àñïèðèíà) íå îêàçûâàåò íåãàòèâíîãî âëèÿèÿ íà ñëèçèñòóþ æåëóäêà.
17;"×òî îçíà÷àåò ""ïîëîæèòåëüíûé èíîòðîïíûé ýôôåêò""?";"óâåëè÷åíèå ÷àñòîòû ñåðäå÷íûõ ñîêðàùåíèé

";óâåëè÷åíèå ñèëû ñåðäå÷íûõ ñîêðàùåíèé;ïîâûøåíèå âîçáóäèìîñòè ìèîêàðäà;òîðìîæåíèå ïðîâîäèìîñòè ìèîêàðäà;óâåëè÷åíèå ñèëû ñåðäå÷íûõ ;2;"Èíîòðîïíûé (îò ãðå÷ ""èíîñ"" - ñèëà) - ýòî èçìåíåíèå ñèëû ñåðäå÷íûõ ñîêðàùåíèé"
18;×òî îçíà÷àåò ïîëîæèòåëüíûé áàòìîòðîïíûé ýôôåêò?;óâåëè÷åíèå ÷àñòîòû ñåðäå÷íûõ ñîêðàùåíèé;òîðìîæåíèå ïðîâîäèìîñòè ìèîêàðäà;ïîâûøåíèå âîçáóäèìîñòè ìèîêàðäà;óâåëè÷åíèå ñèëû ñåðäå÷íûõ ñîêðàùåíèé;ïîâûøåíèå âîçáóäèìîñòè ìèîêàðäà;2;"Ïîëîæèòåëüíûé áàòìîòðîïíûé ýôôåêò (îò ãðå÷ ""áàòìî"" - ïîðîã) – ïîâûøàåòñÿ âîçáóäèìîñòü ìèîêàðäà. ßâëÿåòñÿ òîêñè÷åñêèì ýôôåêò ïðè ïåðåäîçèðîâêå ñåðäå÷íûìè ãëèêîçèäàìè"
19;×òî îçíà÷àåò îòðèàòåëüíûé õðîíîòðîïíûé ýôôåêò?;óâåëè÷åíèå ÷àñòîòû ñåðäå÷íûõ ñîêðàùåíèé;çàìåäëåíèå ÷àñòîòû ñåðäå÷íûõ ñîêðàùåíèé;ïîâûøåíèå âîçáóäèìîñòè ìèîêàðäà;óâåëè÷åíèå ñèëû ñåðäå÷íûõ ñîêðàùåíèé;çàìåäëåíèå ÷àñòîòû ñåðäå÷íûõ ñîêðàùåíèé;2;"Îò ãðå÷åñêîãî ""õðîíîñ"" - âðåìÿ. Ýòî çàìåäëåíèå ×ÑÑ, áðàäèêàðäèÿ"
20;×òî îçíà÷àåò îòðèàòåëüíûé äðîìîòðîïíûé ýôôåêò?;"óâåëè÷åíèå ÷àñòîòû ñåðäå÷íûõ ñîêðàùåíèé
";òîðìîæåíèå ïðîâîäèìîñòè ìèîêàðäà;ïîâûøåíèå âîçáóäèìîñòè ìèîêàðäà;óâåëè÷åíèå ñèëû ñåðäå÷íûõ ñîêðàùåíèé;òîðìîæåíèå ïðîâîäèìîñòè ìèîêàðäà;2;"Îòðèöàòåëüíûé äðîìîòðîïíûé ýôôåêò (îò ãðå÷ ""áàòìî"" - áåã) – òîðìîæåíèå ïðîâîäèìîñòè ìèîêàðäà"
21;Ãäå íàõîäÿòñÿ âîëîêíà Ïóðêèíüå?;â ïðåäåðäèÿõ;â ìåæïðåäñåðäíîé ïåðåãîðîäêå;â ìåææåëóäî÷êîâîé ïåðåãîðîäêå;â ñòåíêàõ æåëóäî÷êîâ;â ñòåíêàõ æåëóäî÷êîâ;2;
22;Èìåííîå íàçâàíèå îäíîãî èç ñèìïòîìîâ ðàçäðàæåíèÿ áðþøèíû;ñèìïòîì Ìîíäîðà;ñèìïòîì Ñêëÿðîâà;ñèìïòîì Ùåòêèíà-Áëþìáåðãà;ñèìïòîì Ýëåêåðà;ñèìïòîì Ùåòêèíà-Áëþìáåðãà;1;"Îñíîâíûå ñèìïòîìû ðàçäðàæåíèÿ áðþøèíû:
1) ñèìïòîì Ùåòêèíà-Áëþìáåðãà – ïðè ðåçêîì îòâåäåíèÿ ðóêè îò ïåðåäíåé áðþøíîé ñòåíêè ó áîëüíîãî âîçíèêàåò îñòðàÿ áîëü. Ïðè äîñêîîáðàçíîì íàïðÿæåíèè ìûøö ïåðåäíåé áðþøíîé ñòåíêè îí íå âñåãäà îò÷åòëèâî âûðàæåí;
2) ñèìïòîì Ìåíäåëÿ – âûÿâëåíèå ïðè ïåðêóññèè áîëåçíåííîñòè ïåðåäíåé áðþøíîé ñòåíêè;
3) ñèìïòîì Âîñêðåñåíñêîãî – ïðè áûñòðîì ïðîâåäåíèè ëàäîíüþ ïî ïåðåäíåé áðþøíîé ñòåíêå (ïîâåðõ ðóáàøêè) áîëüíîé èñïûòûâàåò áîëü."
23;Òðèñîìèÿ ïî êàêîé ïàðå õðîìîñîì ñîîòâåòñòâóåò áîëåçíè Äàóíà?;ïî 8;ïî Y;ïî 21;ïî 13;ïî 21;1;ïîìèìî òðèñîìèè ïî 21 õðîìîñåìå, áîëåçíü Äàóíà âîçìîæíà ïðè òðàíñëîêàöèè 21 õðîìîñîìû íà äðóãèå è ìîçàè÷íûé âàðèàíò.
24;"Äëÿ êàêîé èíôåêöèîííîé áîëåçíè õàðàêòåðåí ñèìïòîì ""ðèñîâîãî îòâàðà""?";áðþøíîé òèô;õîëåðà;ñàëüìîíåëëåç;øèãåëëåç;õîëåðà;1;Äëÿ õîëåðû õàðàêòåðåí ìíîãîêðàòíûé æèäêèé ñòóë (çà÷àñòóþ áåç áîëè â æèâîòå, äî 20 ðàç â ñóòêè è áîëåå) â âèäå «ðèñîâîãî îòâàðà» — ïðîçðà÷íîé æèäêîñòè ñ áåëûìè ðûõëûìè õëîïüÿìè
25;Êàêóþ ïàòîëîãèþ ìîæíî âûÿâèòü ïî êðèòåðèÿì Áðèñòîëüñêîé øêàëû?;íàðóøåíèÿ ñåðäå÷íîãî ðèòìà;ñèíäðîì ðàçäðàæåííîãî êèøå÷íèêà;ìî÷åêàìåííàÿ áîëåçíü;ðàñõîäÿùååñÿ êîñîãëàçèå;ñèíäðîì ðàçäðàæåííîãî êèøå÷íèêà;1;Áðèñòîëüñêàÿ øêàëà ôîðìû êàëà — ìåäèöèíñêàÿ îöåíî÷íàÿ êëàññèôèêàöèÿ ôîðìû è êîíñèñòåíöèè ÷åëîâå÷åñêîãî êàëà.
26;×òî òàêîå íèñòàãì?;ñèìïòîì, õàðàêòåðèçóþùèéñÿ ðàçíûì ðàçìåðîì çðà÷êîâ ãëàç;íåïðîèçâîëüíûå êîëåáàòåëüíûå äâèæåíèÿ ãëàç âûñîêîé ÷àñòîòû;îñòðàÿ ñâåòîáîÿçíü;íåïðîèçâîëüíîå íåêîíòðîëèðóåìî çàæìóðèâàíèå ãëàç;íåïðîèçâîëüíûå êîëåáàòåëüíûå äâèæåíèÿ ãëàç âûñîêîé ÷àñòîòû;2;
27;Ñêîëüêî ïàð ÷åðåïíûõ íåðâîâ ó ÷åëîâåêà?;8;10;12;14;12;1;"I ïàðà — îáîíÿòåëüíûé íåðâ (ëàò. nervus olfactorius)
II ïàðà — çðèòåëüíûé íåðâ (ëàò. nervus opticus)
III ïàðà — ãëàçîäâèãàòåëüíûé íåðâ (ëàò. nervus oculomotorius)
IV ïàðà — áëîêîâûé íåðâ (ëàò. nervus trochlearis)
V ïàðà — òðîéíè÷íûé íåðâ (ëàò. nervus trigeminus)
VI ïàðà — îòâîäÿùèé íåðâ (ëàò. nervus abducens)
VII ïàðà — ëèöåâîé íåðâ (ëàò. nervus facialis)
VIII ïàðà — ïðåääâåðíî-óëèòêîâûé íåðâ (ëàò. nervus vestibulocochlearis)
IX ïàðà — ÿçûêîãëîòî÷íûé íåðâ (ëàò. nervus glossopharyngeus)
Õ ïàðà — áëóæäàþùèé íåðâ (ëàò. nervus vagus)
XI ïàðà — äîáàâî÷íûé íåðâ (ëàò. nervus accessorius)
XII ïàðà — ïîäúÿçû÷íûé íåðâ (ëàò. nervus hypoglossus)"
28;Êàê íàçûâàåòñÿ ïåðåêðåñò çðèòåëüíûõ íåðâîâ?;"Hiatus olphactorius
";Chiacta oculus;Chiasma opticum;Peregrinus opticus;Chiasma opticum;2;Ïåðåêð¸ñò çðè?òåëüíûõ íå?ðâîâ — ÷àñòü ìîçãà, ìåñòî ÷àñòè÷íîãî ïåðåñå÷åíèÿ âîëîêîí çðèòåëüíûõ íåðâîâ (II ïàðà ÷åðåïíûõ íåðâîâ), ðàñïîëîæåííîå â íèæíåé ÷àñòè (îñíîâàíèè) ãîëîâíîãî ìîçãà íåïîñðåäñòâåííî ïîä ãèïîòàëàìóñîì
29;Ê êàêîé ãðóïïå àíòèáèîòèêîâ îòíîñèòñÿ àìîêñèöèëëèí?;"ôòîðõèíîëîíû
";ìàêðîëèäû;?-ëàêòàìû;àìèíîãëèêîçèäû;?-ëàêòàìû;2;Áåòà-ëàêòàìíûå àíòèáèîòèêè (?-ëàêòàìíûå àíòèáèîòèêè, ?-ëàêòàìû) — ãðóïïà àíòèáèîòèêîâ, êîòîðûå îáúåäèíÿåò íàëè÷èå â ñòðóêòóðå ?-ëàêòàìíîãî êîëüöà. Ê áåòà-ëàêòàìàì îòíîñÿòñÿ ïîäãðóïïû ïåíèöèëëèíîâ, öåôàëîñïîðèíîâ, êàðáàïåíåìîâ è ìîíîáàêòàìîâ
30;Ó êàêîé ãðóïïû ïðåïàðàòîâ âîçìîæåí ïîáî÷íûé ýôôåêò â âèäå ïîâûøåíèÿ ÀÄ?;"áëîêàòîðû àëüäîñòåðîíà


";ÍÏÂÑ;àíòèãèñòàìèííûå;àäðåíàëèí;ÍÏÂÑ;2;"Äåñòàáèëèçàöèÿ àðòåðèàëüíîãî äàâëåíèÿ (ÀÄ) ñâÿçàíà ñ âëèÿíèåì ÍÏÂÏ íà ïðîñòàãëàíäèíîâûå ìåõàíèçìû êîíòðîëÿ àðòåðèàëüíîé ãèïåðòåíçèè (ÀÃ). Óãíåòåíèå îáðàçîâàíèÿ ïðîñòàãëàíäèíîâ ïîâûøàåò òîíóñ ìóñêóëàòóðû àðòåðèé, à òàêæå îêàçûâàåò äîçîçàâèñèìîå âîçäåéñòâèå íà íàòðèéóðåç, ÷òî ïðèâîäèò ê çàäåðæêå æèäêîñòè.
"
31;Ñêîëüêî çìåé íà æåçëå Àñêëåïèÿ (ñèìâîë ìåäèöèíû)?;1;2;3;âîîáùå íåò çìåé;1;2;Âñåì èçâåñòåí ñèìâîë ìåäèöèíû – çìåÿ, îáâèâàþùàÿ ïîñîõ èëè êóáîê. Ýòî ñèìâîë Àñêëåïèÿ – áîãà âðà÷åâàíèÿ â Äðåâíåé Ãðåöèè. Â ñîîòâåòñòâèè ñ ëåãåíäîé, Àñêëåïèé øåë ê öàðþ Ìèäàñó, ÷òîá âîñêðåñèòü åãî ñûíà Ãëàâêà. Â ïóòè åãî ïîñîõ îáâèëà çìåÿ, è îí óáèë åå. Íî çàòåì ïîñîõ îáâèëà äðóãàÿ çìåÿ ñ òðàâîé âî ðòó è âîñêðåñèëà ïåðâóþ. Èìåííî ñ ïîìîùüþ ýòîé òðàâû Àñêëåïèé ñòàë âîñêðåøàòü ìåðòâûõ. À âîò äâå çìåè, îáâèâàþùèå êóáîê, – ýòî ñèìâîë áîãà òîðãîâëè Ãåðìåñà (æåçë Êàäóöåé). Îäíàêî ìíîãèå ìåäèöèíñêèå îðãàíèçàöèè è îáùåñòâà èìåþò èìåííî òàêîé ñèìâîë íà ñâîèõ ëîãîòèïàõ. À âèíîé âñåìó ìåäèöèíñêàÿ ñëóæáà àðìèè ÑØÀ, êîòîðàÿ ïîìåñòèëà íà ñâîé ëîãîòèï èìåííî æåçë Ãåðìåñà â 1902 ãîäó. Íåäîñìîòðîì ýòî ÿâëÿåòñÿ èëè îøèáêîé – íèêòî íå çíàåò, íî ñ òåõ ïîð è ïîÿâèëàñü ïóòàíèöà.
32;Êàêàÿ èç ôàðìàöåâòè÷åñêèõ êîìïàíèé íèêîãäà íå ïðîäàâàëà êîêàèí?;"Merck

";Bayer;Parke-Davis;Berlin-Chemie;Berlin-Chemie;2;Â êîíöå 19 - íà÷àëå 20 ââ. êîêàèí áûë åäèíñòâåííûì ïðåïàðàòîì äëÿ áóðíî ðàçâèâàâøåéñÿ ìåñòíîé àíåñòåçèè è ïðèìåíÿëñÿ â ðàçëè÷íûõ îáëàñòÿõ ìåäèöèíû. Berlin-Chemie - íå âûïóñêàëà ïðåïàðàòû, ñîäåðæàùèå êîêàèí.
33;Ìîëåêóëà êàêîãî íàðêîòè÷åñêîãî âåùåñòâà áûëà âûäåëåíà âïåðâûå? ;Êîêàèí;Ãåðîèí;Êîäåèí;Ìîðôèí;Ìîðôèí;1;Âïåðâûå ìîðôèí áûë âûäåëåí íåìåöêèì ôàðìàêîëîãîì Ôðèäðèõîì Ñåðòþðíåðîì èç îïèóìà â 1804 ãîäó
34;"Êîìó ïðèíàäëåæèò ôðàçà: ""Â ìèðå íå ñóùåñòâóåò ÿäîâ è ëåêàðñòâ - âñå ðåøàåò äîçà""?";Ïàñòåð;Ïàðàöåëüñ;Ãèïïîêðàò;Àâèöåíà;Ïàðàöåëüñ;2;
35;Êàêàÿ âðà÷åáíàÿ ñïåöèàëüíîñòü áûëà ó äîêòîðà Àéáîëèòà?;Õèðóðã;Òåðàïåâò;Ïåäèàòð;Âåòåðèíàð;Âåòåðèíàð;1;
36;"Îò êàêîé èíôåêöèè äåëàëè âàêöèíàöèþ ïåðñîíàæàì ôèëüìà ""Êàâêàçñêàÿ ïëåííèöà""?";Îñïà;ßùóð;Áåøåíñòâî;Ñâèíêà;ßùóð;1;
37;Èç ñêîëüêè êîñòåé ñîñòîèò çàïÿñòüå?;7;11;8;12;8;2;"Ïðîêñèìàëüíûé ðÿä ñîñòàâëÿþò ñëåäóþùèå êîñòè, åñëè èäòè ñî ñòîðîíû áîëüøîãî ïàëüöà â ñòîðîíó ïÿòîãî ïàëüöà: ëàäüåâèäíàÿ, ïîëóëóííàÿ, òð¸õãðàííàÿ è ãîðîõîâèäíàÿ.
Äèñòàëüíûé ðÿä ñîñòàâëÿþò òàêæå ÷åòûðå êîñòè: ìíîãîóãîëüíàÿ, òðàïåöèåâèäíàÿ, ãîëîâ÷àòàÿ è êðþ÷êîâèäíàÿ."
38;Èìåííîåíàçâàíèå íåñïåöèôè÷åñêîãî àîðòîàðòåðèèòà;Òàêîöóáî;Òàêîñóíè;Òàêàÿñó;Òàìàãó÷è;Òàêàÿñó;2;
39;Ñêîëüêî ÷óäåñíûõ ñåòåé (rete mirabile) ïðåäñòàâëåíî â ÷åëîâå÷åñêîì îðãàíèçìå?;1;2;3;ìîæåò áûòü ðàçíîå êîëè÷åñòâî;3;2;"×óäåñíàÿ ñåòü - ýòî ñîñóäèñòàÿ ñåòü, êîòîðàÿ íà ñâî¸ì ïóòè ïðîõîäèò ÷åðåç êàïèëëÿðû íå îäèí ðàç, à äâàæäû.
Â ÷åëîâå÷åñêîì îðãàíèçìå èõ òðè:  ñèñòåìà âîðîòíîé âåíû, âîðîòíàÿ ñèñòåìà ãèïîôèçà, êðîâîîáðàùåíèå â ïî÷êàõ"
40;Ñêîëüêî ìîëî÷íûõ çóáîâ ó ÷åëîâåêà?;14;16;18;20;20;1;10 ñâåðõó è 10 ñíèçó
41;Êòî ñèäèò â Òóðåöêîì ñåäëå?;Ãèïîòàëàìóñ;Ãèïîôèç;Ìîçæå÷îê;Øèøêîâèäíàÿ æåëåçà;Ãèïîôèç;1;
42;Ñêîëüêî îðãàíîâ ÷óâñòâ ó ÷åëîâåêà?;3;4;5;6;5;1;6 âìåñòå ñ èíòóèöèåé, à òàê 5
43;Êàêîé èç îðãàíîâ ÷óâñòâ â ìåíüøåé ñòåïåíè îáëàäàåò ñïîñîáíîñòüþ ê àäàïòàöèè?;çðèòåëüíûé;ñëóõîâîé;òàêòèëüíûé;âêóñîâîé;ñëóõîâîé;2;
44;Â êàêîì îðãàíå íåò áîëåâûõ ðåöåïòîðîâ?;ãîëîâíîé ìîçã;ðîãîâèöà ãëàçà;ìèîêàðä;òîëñòàÿ êèøêà;ãîëîâíîé ìîçã;1;
45;Â êàêîì îðãàíå íåò áîëåâûõ ðåöåïòîðîâ?;ïå÷åíü;òîíêèé êèøå÷íèê;ñåëåçåíêà;ïî÷êè;ïå÷åíü;2;áîëü â ïå÷åíè âîçíèêàåò èç-çà ðàñòÿæåíèÿ êàïñóëû
46;"Ïðè êàêîé ïàòîëîãèè ìîæåò ïîÿâèòüñÿ ñèíäðîì ""áàðàáàííûõ ïàëî÷åê"" è ""÷àñîâûõ ñòåêîë""?";àóòîèìóííàÿ àíåìèÿ;ÕÑÍ;òðàõåèò;ÕÎÁË;ÕÎÁË;2;
47;"Êàêóþ àíåìèþ ðàíüøå íàçûâàëè ""õëîðîç""?";ãåìîëèòè÷åñêàÿ;æåëåçîäåôèöèòíàÿ;ñåðïîâèäíî-êëåòî÷íàÿ;Â12-äåôèöèòíàÿ;æåëåçîäåôèöèòíàÿ;2;
48;Êàêîé èç àíòèàðèòìè÷åñêèõ ïðåïàðàòîâ ìîæåò ñïðîâîöèðîâàòü ôèáðèëëÿöèþ æåëóäî÷êîâ, åñëè ó ïàöèåíòà ñèíäðîì ÂÏÂ è ôèáðèëëÿöèÿ ïðåäñåðäèé?;âåðàïàìèë;äèãîêñèí;àòåíîëîë;êîðäàðîí;âåðàïàìèë;2;
49;Êàêîé æèçíåííûé öèêë ýðèòðîöèòîâ?;1 ìåñÿö;2 ìåñÿöà;4 ìåñÿöà;çàâèñèò îò ïîëà;4 ìåñÿöà;1;
